#{"t_start": 1774025425.9025102, "env_id": "ColoredChestKuka-v0"}
r,l,t
50.581628,150,79.708518
1017.541286,87,79.770076
24.167345,150,79.854784
1010.77896,75,79.909721
69.848602,150,79.993666
34.972965,150,80.078057
39.989565,150,80.165495
1018.585044,86,80.223657
1025.097505,79,80.823367
35.036408,150,80.912703
46.500064,150,80.998429
56.937166,150,81.086264
62.478694,150,81.173041
44.769939,150,81.25976
47.998098,150,81.348223
44.389102,150,81.431578
1015.149209,79,81.488546
1011.045465,78,81.543412
47.741326,150,81.69362
1023.2411,91,81.767822
75.695748,150,81.855258
52.700957,150,81.940906
1019.342679,81,81.999146
27.93516,150,82.084909
52.960895,150,82.63003
47.632533,150,82.718654
51.746365,150,82.805056
1023.256345,92,82.867745
1017.212755,84,82.924813
1012.233718,74,82.982721
56.730312,150,83.069277
35.063264,150,83.152637
74.653733,150,83.239498
1011.203042,71,83.298177
1012.901224,86,83.358393
43.951087,150,83.446747
43.637901,150,83.538498
33.992306,150,83.625748
44.683583,150,83.713851
51.937583,150,83.797912
1019.751676,78,84.383895
34.479583,150,84.471614
60.776332,150,84.555624
1017.141828,77,84.613165
41.720466,150,84.699681
35.735927,150,84.783522
35.986734,150,84.872129
7.193835,150,84.957398
46.527673,150,85.041629
1014.032855,78,85.102163
1014.11742,76,85.158568
1018.962334,90,85.221167
47.904274,150,85.304864
1014.735672,76,85.362749
44.601514,150,85.449883
7.986835,150,85.535803
48.34007,150,86.081559
25.690935,150,86.167294
22.904321,150,86.254149
37.60065,150,86.338903
1014.653515,72,86.39664
1018.163017,75,86.45326
12.657194,150,86.540701
1010.788468,77,86.59844
59.78199,150,86.681811
43.877065,150,86.770171
36.448251,150,86.856683
58.097999,150,86.940888
-15.542986,150,87.024433
32.045732,150,87.109879
1014.969204,76,87.164404
39.895957,150,87.250179
30.433586,150,87.873013
23.383626,150,87.96045
64.659203,150,88.047428
11.539242,150,88.134292
16.618734,150,88.222702
43.723745,150,88.316294
27.757657,150,88.420453
-6.506833,150,88.509754
0.623668,150,88.595582
1019.85541,83,88.656966
17.33356,150,88.782124
60.411069,150,88.884501
36.111241,150,88.98169
45.718683,150,89.071682
46.29602,150,89.724083
1015.331169,70,89.776771
19.119089,150,89.863057
45.870677,150,89.950107
-5.475088,150,90.037783
33.64849,150,90.121968
9.590187,150,90.313704
1026.67606,87,90.413533
27.088549,150,90.500364
1017.755412,84,90.567201
1012.348909,76,90.632117
43.048914,150,90.72504
1038.826486,105,90.794998
19.335447,150,90.877642
-3.088845,150,90.963644
1019.114085,85,91.022678
1048.934615,131,91.558393
39.752259,150,91.646569
63.330283,150,91.732888
63.315825,150,91.817277
1007.888871,79,91.873888
1014.345875,80,91.929784
-11.997765,150,92.017299
46.536695,150,92.104605
1015.874295,82,92.16182
74.10382,150,92.245284
1017.186901,65,92.29758
10.962933,150,92.382738
66.511695,150,92.467174
45.653614,150,92.551847
58.06045,150,92.635137
45.889192,150,92.724919
1015.425977,86,93.248208
66.457901,150,93.332714
52.715638,150,93.418386
74.802261,150,93.502262
1019.750088,76,93.557111
1016.966821,80,93.613877
35.020233,150,93.697657
1015.90161,77,93.752733
1024.22655,90,93.812836
25.603135,150,93.902649
41.887818,150,93.989133
53.241236,150,94.074308
46.698934,150,94.158491
1007.30457,80,94.214701
59.74435,150,94.299586
12.75467,150,94.385605
47.013266,150,94.934493
1008.156718,74,94.989835
36.520134,150,95.074542
33.665375,150,95.159058
1015.083549,83,95.219529
56.386865,150,95.30695
1013.145696,85,95.364748
47.232206,150,95.45017
2.147841,150,95.61211
1007.156132,87,95.676791
34.257826,150,95.764676
1013.983103,70,95.818797
1020.751435,99,95.884453
34.795599,150,95.969096
44.135959,150,96.054843
46.563003,150,96.143889
49.347761,150,96.22727
23.680979,150,96.782191
1016.294772,72,96.83794
23.239772,150,96.922198
52.21311,150,97.007181
50.12595,150,97.088269
1014.114483,80,97.146485
43.913562,150,97.229037
26.806088,150,97.378023
48.678591,150,97.464947
1021.339258,78,97.522414
0.899926,150,97.608677
1008.173519,101,97.677118
28.562754,150,97.764736
0.467802,150,97.850655
59.994823,150,97.997733
1014.169274,71,98.063883
24.187677,150,98.617707
-28.096297,150,98.70217
6.921439,150,98.78537
51.338533,150,98.87099
65.684084,150,98.959466
70.599912,150,99.051526
38.245576,150,99.139464
16.247755,150,99.226146
1019.850951,91,99.287142
26.917264,150,99.395202
40.836516,150,99.531563
9.19329,150,99.617273
1013.433752,75,99.673017
21.116057,150,99.759299
38.714338,150,100.341026
35.660853,150,100.425476
72.155194,150,100.5102
1019.326553,96,100.572134
3.372109,150,100.658507
1004.602845,85,100.716779
56.830887,150,100.801111
1011.914694,77,100.859247
1018.134116,83,100.925116
34.781446,150,101.012141
1012.092419,87,101.071777
43.931322,150,101.155804
13.394768,150,101.240042
74.895687,150,101.325882
47.613158,150,101.409746
1014.90398,86,101.471353
1019.349683,81,101.529847
57.779166,150,102.076149
38.102693,150,102.161507
1020.11287,106,102.230619
1037.163441,116,102.302041
54.090757,150,102.386133
1012.522604,76,102.440142
1016.113264,74,102.495197
1029.080609,94,102.55856
1012.005747,76,102.615283
-7.035168,150,102.701028
33.62446,150,102.788729
1014.754133,85,102.849027
84.067684,150,102.935088
1018.450217,85,103.053348
46.13022,150,103.146846
55.856914,150,103.232275
66.785191,150,103.313751
54.429122,150,103.857883
25.427564,150,103.945189
58.239185,150,104.030037
57.647957,150,104.111811
58.749971,150,104.196297
33.106935,150,104.282701
1016.419203,80,104.341688
55.132155,150,104.428734
62.809604,150,104.516879
1026.958484,94,104.58033
54.740423,150,104.665443
22.438188,150,104.748319
27.593502,150,104.830892
57.314394,150,104.915785
72.459127,150,105.458303
15.548688,150,105.543332
5.207913,150,105.630113
47.57863,150,105.715167
49.429785,150,105.801485
28.391223,150,105.886453
1017.041493,80,105.942172
1035.179726,105,106.009924
55.368632,150,106.155312
62.907253,150,106.240532
1017.082809,90,106.299977
1014.530586,79,106.354559
71.324563,150,106.44099
1008.935981,78,106.496125
59.193619,150,106.578916
1011.146216,73,106.634737
1018.301527,89,106.696783
1010.266813,74,107.214391
52.801369,150,107.30244
69.702477,150,107.387031
40.512189,150,107.471388
48.616689,150,107.554728
27.28561,150,107.641184
9.358679,150,107.723289
59.915292,150,107.806045
70.508452,150,107.894043
62.130471,150,107.979394
34.285748,150,108.060336
71.520575,150,108.147787
46.03469,150,108.235019
29.852089,150,108.319898
