#{"t_start": 1774030652.557245, "env_id": "ColoredChestKuka-v0"}
r,l,t
49.62885,150,94.072539
35.541047,150,94.24216
39.466963,150,94.330086
1019.807847,87,94.394301
50.255588,150,94.951998
12.044888,150,95.042165
24.283685,150,95.128257
1013.127962,86,95.18808
7.901105,150,95.273172
1014.208579,88,95.33313
1021.059243,91,95.395111
32.567499,150,95.483257
34.956883,150,95.68592
1018.605144,83,95.763894
21.247614,150,95.848414
46.021626,150,95.931015
28.811005,150,96.017104
40.120753,150,96.108474
1015.430644,78,96.167371
14.90157,150,96.72631
41.977221,150,96.812489
33.636025,150,96.897524
1016.349084,77,96.95636
63.906179,150,97.045354
11.31981,150,97.130208
8.574579,150,97.215399
1015.934555,82,97.275114
37.244502,150,97.450083
36.305094,150,97.542151
1016.094501,78,97.599931
84.437092,150,97.68468
56.871118,150,97.771375
63.335627,150,97.857434
58.528583,150,97.9443
1010.658834,77,98.002217
65.602385,150,98.559986
21.534753,150,98.643858
23.672495,150,98.730765
18.694217,150,98.81568
25.81483,150,98.903764
1011.165999,81,98.961421
34.423177,150,99.048696
1010.455675,77,99.105915
-14.015336,150,99.191486
-10.465761,150,99.360485
57.342944,150,99.448384
62.262813,150,99.534106
44.819781,150,99.620394
1022.529023,77,99.679238
49.57226,150,99.76468
39.495147,150,100.319251
17.588244,150,100.403953
36.22567,150,100.490329
14.700316,150,100.575843
13.646456,150,100.661294
39.555054,150,100.748879
41.045541,150,100.835124
4.703935,150,100.923089
18.887872,150,101.118665
-8.542048,150,101.212629
32.209515,150,101.30041
-2.207219,150,101.388253
44.592091,150,101.474503
2.764122,150,101.559221
0.821455,150,102.118163
1011.311703,76,102.176608
36.994909,150,102.263265
16.963162,150,102.348662
32.687628,150,102.434635
42.960867,150,102.520886
49.576731,150,102.606147
54.563937,150,102.777907
34.192837,150,102.862587
57.236732,150,102.949591
41.212286,150,103.037444
54.286288,150,103.123181
1016.84016,80,103.181366
44.940266,150,103.268223
22.660038,150,103.815951
53.745452,150,103.90302
40.621705,150,103.991976
61.89686,150,104.081905
